"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","199","test_list_car_engines[limit_1]","tests.smoke","Fri Jan 30 16:49:01 UTC 2026","passed","Fri Jan 30 16:49:02 UTC 2026","TestCarEngines","test_car_engines","",""
"","221","test_payments_list[limit_1_offset_1]","tests.smoke","Fri Jan 30 16:49:05 UTC 2026","passed","Fri Jan 30 16:49:05 UTC 2026","TestPayments","test_payments","",""
"","183","test_payments_list[no_params]","tests.smoke","Fri Jan 30 16:49:04 UTC 2026","passed","Fri Jan 30 16:49:05 UTC 2026","TestPayments","test_payments","",""
"","406","test_services_list[limit_1]","tests.smoke","Fri Jan 30 16:49:06 UTC 2026","passed","Fri Jan 30 16:49:06 UTC 2026","TestServices","test_services","",""
"","189","test_operations_list[limit_1_offset_1]","tests.smoke","Fri Jan 30 16:49:04 UTC 2026","passed","Fri Jan 30 16:49:04 UTC 2026","TestOperations","test_operations","",""
"","365","test_list_cars[limit_1]","tests.smoke","Fri Jan 30 16:49:02 UTC 2026","passed","Fri Jan 30 16:49:03 UTC 2026","TestCars","test_cars","",""
"","180","test_list_customers[limit_1]","tests.smoke","Fri Jan 30 16:49:03 UTC 2026","passed","Fri Jan 30 16:49:03 UTC 2026","TestCustomers","test_customers","",""
"","182","test_services_list[limit_1_offset_1]","tests.smoke","Fri Jan 30 16:49:06 UTC 2026","passed","Fri Jan 30 16:49:06 UTC 2026","TestServices","test_services","",""
"","303","test_user_login","tests.smoke","Fri Jan 30 16:49:06 UTC 2026","passed","Fri Jan 30 16:49:07 UTC 2026","TestUser","test_user","",""
"","318","test_list_car_engines[limit_1_offset_1]","tests.smoke","Fri Jan 30 16:49:02 UTC 2026","passed","Fri Jan 30 16:49:02 UTC 2026","TestCarEngines","test_car_engines","",""
"","225","test_list_cars[no_params]","tests.smoke","Fri Jan 30 16:49:02 UTC 2026","passed","Fri Jan 30 16:49:02 UTC 2026","TestCars","test_cars","",""
"","193","test_operations_list[limit_1]","tests.smoke","Fri Jan 30 16:49:04 UTC 2026","passed","Fri Jan 30 16:49:04 UTC 2026","TestOperations","test_operations","",""
"","181","test_payments_list[limit_1]","tests.smoke","Fri Jan 30 16:49:05 UTC 2026","passed","Fri Jan 30 16:49:05 UTC 2026","TestPayments","test_payments","",""
"","618","test_root_list","tests.smoke","Fri Jan 30 16:49:05 UTC 2026","passed","Fri Jan 30 16:49:06 UTC 2026","TestRoot","test_root","",""
"","401","test_list_cars[limit_1_offset_1]","tests.smoke","Fri Jan 30 16:49:03 UTC 2026","passed","Fri Jan 30 16:49:03 UTC 2026","TestCars","test_cars","",""
"","186","test_services_list[no_params]","tests.smoke","Fri Jan 30 16:49:06 UTC 2026","passed","Fri Jan 30 16:49:06 UTC 2026","TestServices","test_services","",""
"","367","test_list_customers[limit_1_offset_1]","tests.smoke","Fri Jan 30 16:49:03 UTC 2026","passed","Fri Jan 30 16:49:04 UTC 2026","TestCustomers","test_customers","",""
"","189","test_list_customers[no_params]","tests.smoke","Fri Jan 30 16:49:03 UTC 2026","passed","Fri Jan 30 16:49:03 UTC 2026","TestCustomers","test_customers","",""
"","265","test_operations_list[no_params]","tests.smoke","Fri Jan 30 16:49:04 UTC 2026","passed","Fri Jan 30 16:49:04 UTC 2026","TestOperations","test_operations","",""
"","203","test_list_car_engines[no_params]","tests.smoke","Fri Jan 30 16:49:01 UTC 2026","passed","Fri Jan 30 16:49:01 UTC 2026","TestCarEngines","test_car_engines","",""
